1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
construire plus de logements,améliorer l'attribution des logements sociaux,autre;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);un dispositif d'aides trop complexe;;Oui;Oui;Non;Non;ne se prononce pas;Non;;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;;50-64 ans;retraité;tourcoing;individuel;propriétaire occupant;je vis seul sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;moins cher qu'ailleurs;Oui;Oui;Non;Non;ne se prononce pas;Non;votre mairie;Oui;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Neuville en ferrain;individuel;locataire d'un logement social;je vis en couple sans enfant
construire plus de logements,améliorer l'habitat existant sur le plan énergétique,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;la crainte que les travaux se passent mal;calme;Non;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;tourcoing;collectif;locataire d'un logement social;je vis seul sans enfant
construire plus de logements,améliorer la mixité sociale,mieux réguler les prix et loyers du marché;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;Emploi;Oui;Non;Non;Non;;Non;"un bailleur social,le groupe ""Action logement""";Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants;35-49 ans;emploi salarié;Lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement;secteur étudiant;Oui;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;18-24 ans;sans emploi;mouscron;individuel;locataire d'un logement privé;je vis en colocation
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;;Non;Non;Non;Non;;Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social,un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants,des tutoriels vidéos pour les travaux;18-24 ans;sans emploi;tourcoing;individuel;locataire d'un logement privé;autre
ne se prononce pas;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;Centre de l Europe du nord très pratique et qualité de vie agréable;Non;Non;;Non;;;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Marcq;individuel;propriétaire occupant;je vis en couple sans enfant
construire plus de logements,améliorer l'attribution des logements sociaux;autre;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;proximité;Non;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées;50-64 ans;retraité;haubordin;collectif;locataire d'un logement social;je vis en couple avec enfant(s)
rénover l'habitat dégradé,adapter les logements au vieillissement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement,trouver une entreprise qualifiée;Beaucoup de service et équipement;Non;Oui;Non;Non;;;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées;35-49 ans;emploi salarié;Villeneuve d'Ascq;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des logements de trop faible qualité,des garanties financières trop sélectives;ne se prononce pas;un dispositif d'aides trop complexe;Vie culturelle;Oui;Non;Non;Non;;;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un forum d'échanges entre habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis seul sans enfant
améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;ne se prononce pas;ne se prononce pas;;Oui;Non;Non;Non;autre;Non;un bailleur social,votre mairie,la MEL;Oui;un meilleur conseil pour obtenir un logement social;autre;;18-24 ans;étudiant;Lille sud;collectif;locataire d'un logement social;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux;des difficultés de financement;Car les emplois de notre région sont concentrés sur ce territoire;Oui;Oui;Non;Oui;autre;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;35-49 ans;emploi salarié;Mouscron Belgique;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer l'habitat existant sur le plan énergétique,autre;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,autre;des difficultés de financement,un dispositif d'aides trop complexe;"Ville attractive //
Emploi
Culture";Oui;Oui;Oui;Oui;bouche à oreille;Oui;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);autre;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;35-49 ans;emploi salarié;Lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des garanties financières trop sélectives;des difficultés pour obtenir un prêt;trouver de l'aide,un conseil adapté;La culture;Oui;Oui;Non;Oui;prospectus, bouche à oreille;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un préfinancement des travaux;25-35 ans;emploi salarié;Lille;individuel;propriétaire occupant;je vis seul sans enfant
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;trouver une entreprise qualifiée;Facilite l'accès à Lille;Oui;Oui;Non;Oui;bouche à oreille;Non;"un bailleur social,le groupe ""Action logement""";Oui;autre;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants;25-35 ans;emploi salarié;croix;individuel;locataire d'un logement privé;je vis seul avec enfant(s)
améliorer la mixité sociale,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement;des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté;Emploi;Oui;Non;Non;Non;;Non;"le groupe ""Action logement""";Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Mons en baroeul;individuel;locataire d'un logement privé;je vis en couple avec enfant(s)
construire plus de logements,mieux réguler les prix et loyers du marché;des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;Calme;Oui;Non;Non;Non;;;autre;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Villeneuve d ascq;individuel;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,faciliter l'accès des jeunes au logement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;la crainte que les travaux se passent mal;Pleins de choses ici;Non;Non;;Non;;;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Wattrelos;individuel;locataire d'un logement privé;je vis en colocation
rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités;ne se prononce pas;trouver une entreprise qualifiée;Animation;Oui;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées;25-35 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis seul sans enfant
rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des difficultés pour obtenir un prêt;des difficultés de financement;Accessible transports;Oui;Non;;Non;;;"le groupe ""Action logement""";Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées;18-24 ans;étudiant;Attentistes;individuel;locataire d'un logement privé;je vis seul sans enfant
faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des difficultés pour obtenir un prêt;des difficultés de financement;Plus calme;Oui;Non;;Non;;;"le groupe ""Action logement""";Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux;50-64 ans;sans emploi;Tourcoing;individuel;locataire d'un logement privé;je vis en couple sans enfant
construire plus de logements,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté;Ville de grande taille ou petite métropole, Lille et la MEL me semblent offrir un joli mélange social et de riches interactions humaines. Ses politiques publiques peuvent être attractives avec un bon réseau de transport et des événements culturels sympa. La proximité en train avec Paris et Bruxelles joue aussi en faveur de Lille. Je suis arrivée ici pour mes études et y suis revenue pour sa qualité de vie : pas de problème de déplacement à vélo, commerces dans les quartiers, bars ouverts tard (arrêtez de harceler les fêtards, merci !), activités familiales, marchés et musées.;Oui;Oui;Oui;Non;ne se prononce pas;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;25-35 ans;étudiant;Lille (Moulins);individuel;propriétaire occupant;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,la crainte que les travaux se passent mal;Parce qu'on y a un réseau d'amis et de la famille, ou parce que notre métier et/ou lieu de travail s'y trouve.;Non;Oui;Non;Oui;journaux locaux (ville, MEL), conseillers travaillant pour la MEL chargés d'accompagner les habitants dans leur projet de rénovation;Oui;un bailleur social,votre mairie;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;Seclin;individuel;locataire d'un logement privé;je vis seul sans enfant
améliorer l'habitat existant sur le plan énergétique,mieux organiser l'accueil des étudiants dans la MEL,améliorer l'attribution des logements sociaux;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.),autre;des difficultés pour obtenir un prêt,autre;des difficultés de financement,un dispositif d'aides trop complexe;"Pour la proximité des services.
Pourquoi autorisez vous la construction de nombreux hôtels sur la métropole avec des taux d'occupation faible : 60 %. Cela veut dire qu'il se construit des logements dont 40 % seront vides. C'est antinomique avec une politique sociale du logement.";Non;Oui;Oui;Oui;journaux locaux (ville, MEL);Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Villeneuve d'Ascq;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;"""habiter en ville"" et habiter à la campagne près de la ville";Non;Oui;Oui;Oui;autre;Oui;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;35-49 ans;emploi salarié;Lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,adapter les logements au vieillissement,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;Travail ville étudiante;Oui;Non;Non;Non;ne se prononce pas;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;autre;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;emploi salarié;Wattrelos;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer l'habitat existant sur le plan énergétique,mieux organiser l'accueil des étudiants dans la MEL,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement;Proximité;Oui;Oui;Non;Oui;autre;Oui;la MEL;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;Haubourdin;individuel;locataire d'un logement privé;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté;Travail la Ville occupations;Oui;Non;Non;Non;ne se prononce pas;Non;votre mairie;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Pornic;collectif;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;Une des plus grandes villes du nord;Oui;Non;Non;Non;ne se prononce pas;Non;"le groupe ""Action logement""";Oui;un meilleur conseil pour obtenir un logement social;autre;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;50-64 ans;emploi salarié;Santes;individuel;locataire d'un logement privé;je vis seul sans enfant
améliorer la mixité sociale,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;Métropole;Oui;Non;Non;Oui;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,des tutoriels vidéos pour les travaux;18-24 ans;étudiant;Loos;collectif;locataire d'un logement privé;je vis en colocation
améliorer la mixité sociale,rénover l'habitat dégradé,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement,trouver une entreprise qualifiée;nombreux service;Oui;Non;Non;Non;ne se prononce pas;Non;la MEL;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;18-24 ans;étudiant;Seclin;individuel;;autre
améliorer la mixité sociale,rénover l'habitat dégradé,adapter les logements au vieillissement;des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;En raison des nombreuses infrastructures dans de nombreux domaines,( écoles, cultures ... ) des transports et aussi en raison de la concentration dans la métropole des secteurs économiques.;Oui;Oui;Non;Oui;autre;Non;"un bailleur social,le groupe ""Action logement""";Oui;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Tourcoing;collectif;propriétaire occupant;je vis seul sans enfant
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver une entreprise qualifiée;Les accès autoroutiers, ferroviaires, bus, métro, les infrastructures nombreuses, les pôles d'activités et d'entreprises;Non;Non;Non;Non;;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);50-64 ans;emploi salarié;lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,autre;des difficultés de financement;Question de praticité concernant la proximité avec une grande ville;Non;Oui;Non;Oui;bouche à oreille;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Lille;individuel;locataire d'un logement privé;je vis en couple sans enfant
faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux,résorber les bidonvilles;des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;Marché de l'emploi;Non;Non;Non;Oui;ne se prononce pas;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;Roubaix;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement;- pour le travail et les opportunités liées, et absolumement pas pour le cadre de vie (trop peu d'espaces verts publics, aménagements urbains inexistants (aires de jeux, plantation, ...), piètre qualité des espaces publics, pollution, axes saturés et une offre en TC insuffisamment développées, ...);Non;Oui;Non;Oui;autre;Non;un bailleur social,votre mairie;Non;autre;une meilleure information sur les projets d'accession à prix abordable;autre;25-35 ans;emploi salarié;Armentières;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;des difficultés de financement,un dispositif d'aides trop complexe;"La MEL offre un berceau d'emploi divers
la MEL est attractive grace à la qualité investie a Lille";Non;Non;Non;Non;;Non;votre mairie;Oui;un meilleur conseil pour obtenir un logement social,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un recueil numérique de bonnes pratiques,témoignages d'habitants,un préfinancement des travaux;35-49 ans;emploi salarié;Villeneuve d'Ascq;individuel;propriétaire occupant;je vis seul avec enfant(s)
construire plus de logements;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités;trouver de l'aide,un conseil adapté;;Non;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Oui;un meilleur conseil pour obtenir un logement social,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un forum d'échanges entre habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;tourcoing;individuel;locataire d'un logement social;autre
construire plus de logements,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;;Oui;Non;Non;Non;;Non;un bailleur social,votre mairie;Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;;collectif;locataire d'un logement social;je vis en couple avec enfant(s)
